food,calories,protein,fat,carbohydrates
chicken gumbo soup,113,5.3,2.9,16.8
crab soup,95,10.4,0.8,12.5
tripe soup,148,17.2,5.2,8.1
little india little lunch,164,0.0,10.6,2.0
original chicken sandwich chick fil a,125,0.0,5.1,0.0
sausage mcmuffin mcdonalds,383,14.6,24.2,28.2
sausage mcgriddles mcdonalds,421,11.4,24.0,42.2
crispy chicken drumstick kentucky fried chicken,70,10.6,3.0,0.0
chicken crispy drumsticks kentucky fried chicken,156,11.8,10.1,4.5
biscuit kentucky fried chicken,185,3.8,9.1,22.1
english muffin mcdonalds,97,5.7,2.3,2.9
french fries mcdonalds,378,4.0,18.1,49.8
hotdog,383,16.4,23.0,28.5
french fries burger king,207,2.4,9.2,28.6
original taco with beef cheese lettuce taco bell,158,6.1,8.8,13.7
hotdog with chili,296,13.5,13.4,31.3
chicken crispy wings kentucky fried chicken,148,9.2,10.1,5.1
egg white delight mcdonalds,250,0.0,16.0,0.0
french toast sticks burger king,73,1.3,3.7,8.7
mcchicken mcdonalds,358,13.7,17.3,36.6
nachos supreme taco bell,480,14.8,26.6,45.0
crispy chicken wing kentucky fried chicken,104,12.6,5.3,1.3
chicken strips burger king,105,6.6,5.5,7.4
crispy chicken breast kentucky fried chicken,214,38.2,6.7,0.4
sausage biscuit mcdonalds,440,11.3,29.7,31.8
sausage burrito mcdonalds,339,13.0,17.1,24.2
onion rings fried,27,0.3,1.6,2.8
onion rings burger king,379,3.5,23.0,39.7
turkey patty fried,79,3.9,5.0,4.4
hotcakes with syrup mcdonalds,601,9.0,17.8,101.8
crispy chicken thigh kentucky fried chicken,163,20.4,9.1,0.0
corn dog,195,6.7,9.4,21.0
chicken box mcdonalds,70,0.2,4.0,5.5
potato wedges kentucky fried chicken,379,5.4,19.8,45.0
scrambled eggs mcdonalds,98,7.7,7.5,0.9
egg mcmuffin mcdonalds,287,17.2,12.2,27.3
nachos taco bell,362,5.1,21.9,36.0
biscuit large mcdonalds,310,5.5,14.4,39.4
crispy chicken strips kentucky fried chicken,129,9.5,7.2,6.4
hotcakes mcdonalds,113,3.0,2.9,19.0
chicken crispy breast kentucky fried chicken,375,29.7,23.2,11.9
hotcakes sausage mcdonalds,776,15.5,34.9,102.4
chicken mcnuggets mcdonalds,48,2.5,3.2,2.4
chips chipotle,151,0.2,7.1,2.1
biscuit mcdonalds,261,4.7,12.2,33.3
rice bowl with chicken,36,1.6,0.4,6.4
spaghetti with meatballs,200,8.7,8.2,22.9
meat ravioli canned,259,8.9,8.9,36.0
cheese ravioli canned,186,6.0,3.5,33.0
premium crispy chicken ranch blt sandwich mcdonalds,586,35.3,22.9,59.8
steak sandwich,459,30.3,14.1,52.0
cheeseburger burger king,380,19.4,19.7,31.5
cheeseburger mcdonalds,313,15.4,14.0,33.1
double cheeseburger,643,37.0,36.9,41.0
double hamburger,942,52.1,58.6,51.4
premium grilled chicken classic sandwich mcdonalds,366,28.3,8.6,44.6
big n tasty with cheese mcdonalds,573,27.2,36.0,39.7
premium grilled chicken club sandwich mcdonalds,493,38.3,18.0,44.3
quarter pounder mcdonalds,417,24.1,19.8,37.9
premium crispy chicken classic sandwich mcdonalds,524,27.8,20.0,58.6
veggie burger,124,11.0,4.4,10.0
quarter pounder with cheese mcdonalds,513,29.0,28.3,39.7
beef sandwich steak raw,173,9.2,15.1,0.0
cheeseburger,292,15.0,13.2,28.7
premium grilled chicken ranch blt sandwich mcdonalds,412,33.7,10.9,44.3
double whopper with cheese burger king,1061,57.7,68.1,53.9
big mac mcdonalds,563,25.9,32.8,44.0
sandwich with cold cuts,833,41.1,39.3,79.9
filet o fish mcdonalds,378,15.1,19.6,35.4
hand breaded chicken tenders carls jr,57,0.0,2.9,0.2
grilled chicken sandwich wendys,370,0.0,8.0,0.0
sandwich with roast beef,410,28.6,13.0,44.3
hamburger burger king,258,14.7,10.4,26.5
big n tasty mcdonalds,524,24.7,31.7,38.5
roast beef sandwich,364,22.6,15.3,33.1
roast beef sandwich with cheese,473,32.2,18.0,45.4
hamburger,255,12.9,9.9,28.7
premium fish sandwich burger king,572,22.6,27.4,58.7
whopper burger king,790,35.4,48.4,52.8
sandwich with tuna salad,584,29.7,28.0,55.4
original chicken sandwich burger king,569,24.2,29.2,52.2
double whopper burger king,942,52.1,58.6,51.4
premium crispy chicken club sandwich mcdonalds,635,39.1,29.9,57.4
hamburger mcdonalds,251,12.3,9.6,28.8
pepperoni pizza dominos,308,12.7,12.6,36.0
sausage pizza,325,13.3,14.3,35.5
pepperoni pizza,313,13.0,13.2,35.5
pepperoni pizza pizza hut,269,12.3,10.9,30.3
cheese pizza pizza hut,260,11.5,10.5,30.0
cheese pizza,285,12.2,10.4,35.7
cheese pizza dominos,278,11.7,9.7,35.9
meat vegetable pizza,332,15.0,14.8,34.5
sucker raw,146,26.6,3.7,0.0
northern pike raw,348,76.3,2.7,0.0
haddock cooked,135,30.0,0.8,0.0
burbot cooked,104,22.3,0.9,0.0
pollock cooked,356,75.3,3.8,0.0
rainbow smelt raw,27,5.0,0.7,0.0
whitefish cooked,265,37.7,11.6,0.0
walleye pike raw,148,30.4,1.9,0.0
carp cooked,275,38.9,12.2,0.0
wolffish cooked,293,53.4,7.3,0.0
snapper cooked,218,44.7,2.9,0.0
roe cooked,58,8.1,2.3,0.5
anchovy raw,37,5.8,1.4,0.0
herring raw,291,33.0,16.6,0.0
cod raw,189,41.1,1.5,0.0
tilapia raw,111,23.3,2.0,0.0
whiting cooked,84,16.9,1.2,0.0
skipjack tuna cooked,407,86.9,4.0,0.0
salmon cooked,733,78.7,44.0,0.0
chum salmon cooked,474,79.5,14.9,0.0
american shad cooked,363,31.3,25.4,0.0
shark cooked,65,5.3,3.9,1.8
trout cooked,118,16.5,5.3,0.0
swordfish raw,196,26.7,9.0,0.0
rainbow trout cooked,119,16.9,5.2,0.0
fish sandwich with cheese,374,15.1,19.6,35.4
jellyfish dried,21,3.2,0.8,0.0
mullet raw,139,23.0,4.5,0.0
halibut cooked,353,71.7,5.1,0.0
lingcod raw,213,44.2,2.7,0.0
orange roughy cooked,30,6.4,0.3,0.0
cisco raw,77,15.0,1.5,0.0
florida pompano cooked,186,20.8,10.7,0.0
snapper raw,218,44.7,2.9,0.0
fish sandwich,565,22.6,27.4,58.7
haddock raw,143,31.5,0.9,0.0
ocean perch raw,51,9.8,1.0,0.0
cuttlefish cooked,45,9.2,0.4,0.5
cod cooked,189,41.1,1.5,0.0
seatrout raw,248,39.8,8.6,0.0
flounder raw,114,20.2,3.1,0.0
spot cooked,79,11.9,3.1,0.0
walleye pike cooked,148,30.4,1.9,0.0
perch raw,55,11.6,0.6,0.0
pumpkin seed sunfish raw,43,9.3,0.3,0.0
salt mackerel,415,25.2,34.1,0.0
mackerel cooked,231,21.0,15.7,0.0
tilapia cooked,111,22.8,2.3,0.0
drum raw,236,34.7,9.8,0.0
atlantic croaker fried,192,15.8,11.0,6.6
pumpkin seed sunfish cooked,42,9.2,0.3,0.0
wolffish raw,294,53.6,7.3,0.0
bluefin tuna cooked,276,44.9,9.4,0.0
scup cooked,68,12.1,1.8,0.0
herring cooked,290,32.9,16.6,0.0
bluefish raw,186,30.1,6.4,0.0
sheepshead cooked,234,48.4,3.0,0.0
bass cooked,91,15.0,2.9,0.0
pout cooked,279,58.4,3.2,0.0
chinook salmon raw,709,78.9,41.3,0.0
rockfish raw,172,35.1,2.6,0.0
tilefish raw,371,67.6,8.9,0.0
scup raw,174,31.3,4.5,0.0
sablefish cooked,755,51.9,59.3,0.0
tuna salad,383,32.9,19.0,19.3
coho salmon cooked,255,34.7,11.8,0.0
roe raw,20,3.1,0.9,0.2
sea bass raw,125,23.8,2.6,0.0
pink salmon cooked,349,56.0,12.0,0.0
sockeye salmon cooked,493,82.1,17.3,0.0
whitefish raw,265,37.8,11.6,0.0
greenland halibut cooked,760,58.6,56.4,0.0
northern pike cooked,350,76.5,2.7,0.0
salmon raw,824,80.9,53.1,0.0
turbot cooked,388,65.4,12.0,0.0
surimi,28,4.3,0.3,1.9
chinook salmon cooked,711,79.2,41.2,0.0
mullet cooked,140,23.1,4.5,0.0
chum salmon raw,3,0.6,0.1,0.0
butterfish raw,47,5.5,2.6,0.0
sea bass cooked,125,23.9,2.6,0.0
greenland halibut raw,759,58.6,56.5,0.0
halibut raw,371,75.7,5.4,0.0
sturgeon cooked,184,28.2,7.0,0.0
fish fillet fried,211,13.3,11.2,15.4
rainbow trout raw,111,15.8,4.9,0.0
pout raw,278,58.6,3.2,0.0
rainbow smelt cooked,35,6.4,0.9,0.0
monkfish raw,22,4.1,0.4,0.0
trout raw,117,16.4,5.2,0.0
shark raw,37,5.9,1.3,0.0
burbot raw,104,22.4,0.9,0.0
dolphinfish cooked,173,37.7,1.4,0.0
crayfish cooked,25,5.0,0.4,0.0
dolphinfish raw,173,37.7,1.4,0.0
perch cooked,54,11.4,0.5,0.0
cusk raw,106,23.2,0.8,0.0
bluefin tuna raw,41,6.6,1.4,0.0
milkfish cooked,54,7.4,2.4,0.0
carp raw,277,38.9,12.2,0.0
sturgeon raw,30,4.6,1.1,0.0
orange roughy raw,22,4.6,0.2,0.0
catfish fried,199,15.7,11.6,7.0
cuttlefish raw,22,4.6,0.2,0.2
bass raw,90,14.9,2.9,0.0
flounder cooked,109,19.4,3.0,0.0
milkfish raw,42,5.8,1.9,0.0
eel raw,375,37.6,23.8,0.0
catfish raw,189,24.2,9.4,0.0
fish sticks,78,3.1,4.5,6.1
coho salmon raw,254,33.8,12.2,0.0
monkfish cooked,27,5.3,0.6,0.0
yellowtail cooked,546,86.6,19.6,0.0
yellowfin tuna cooked,37,8.2,0.2,0.0
ling cooked,168,36.8,1.2,0.0
eel cooked,67,6.7,4.2,0.0
sablefish raw,753,51.8,59.1,0.0
salmon nuggets,60,3.6,3.3,4.0
yellowtail raw,546,86.5,19.6,0.0
butterfish cooked,47,5.5,2.6,0.0
caviar,42,3.9,2.9,0.6
pollock raw,355,75.0,3.8,0.0
catfish cooked,206,26.4,10.3,0.0
whiting raw,83,16.8,1.2,0.0
pink salmon raw,404,65.2,14.0,0.0
yellowfin tuna raw,31,6.9,0.1,0.0
mackerel raw,230,20.8,15.6,0.0
turbot raw,388,65.5,12.0,0.0
cusk cooked,106,23.1,0.8,0.0
atlantic croaker raw,82,14.0,2.5,0.0
sucker cooked,148,26.6,3.7,0.0
spot raw,79,11.8,3.1,0.0
drum cooked,236,34.6,9.7,0.0
crayfish raw,3,0.6,0.048,0.0
tilefish cooked,441,73.5,14.1,0.0
bluefish cooked,186,30.1,6.4,0.0
grouper cooked,238,50.2,2.6,0.0
sheepshead raw,257,48.1,5.7,0.0
herring kippered,87,9.8,4.9,0.0
grouper raw,238,50.2,2.6,0.0
ocean perch cooked,48,9.3,0.9,0.0
ling raw,168,36.7,1.2,0.0
lingcod cooked,329,68.4,4.1,0.0
florida pompano raw,184,20.7,10.6,0.0
rockfish cooked,162,33.1,2.4,0.0
seatrout cooked,247,39.9,8.6,0.0
sockeye salmon raw,562,84.4,22.2,0.0
swordfish cooked,182,24.9,8.4,0.0
american shad raw,362,31.2,25.3,0.0
sardine canned in oil,310,36.7,17.1,0.0
anchovy canned in oil,8,1.2,0.4,0.0
salmon canned,520,79.1,20.3,0.0
sardines in tomato sauce canned,165,18.6,9.3,0.5
sockeye salmon canned,563,79.5,24.9,0.0
tuna canned,102,18.9,2.4,0.0
pink salmon canned,530,80.9,20.4,0.0
cod canned,328,71.0,2.7,0.0
eastern oyster canned,110,11.4,4.0,6.3
chum salmon canned,520,79.1,20.3,0.0
tuna canned in oil,331,47.2,14.4,0.0
wild pink salmon oceans,320,0.0,16.0,0.0
shrimp canned,128,26.1,1.7,0.0
alaska king crab raw,144,31.5,1.0,0.0
scallops fried,64,2.6,3.2,6.4
shrimp cooked,7,1.3,0.092,0.013
clams fried,19,1.3,1.0,1.0
alaska king crab cooked,130,25.9,2.1,0.0
scallops cooked,11,2.1,0.058,0.5
squid fried,140,14.4,6.0,6.2
oyster raw,41,4.7,1.2,2.5
abalone,89,14.5,0.6,5.1
queen crab raw,25,5.2,0.3,0.0
whelk cooked,78,13.5,0.2,4.4
oyster cooked,41,4.7,1.2,2.5
eastern oyster cooked,8,0.7,0.2,0.7
blue mussels cooked,344,47.6,9.0,14.8
octopus raw,23,4.2,0.3,0.6
spiny lobster cooked,233,43.0,3.2,5.1
blue mussels raw,129,17.9,3.4,5.5
queen crab cooked,98,20.2,1.3,0.0
dungeness crab cooked,140,28.3,1.6,1.2
dungeness crab raw,140,28.4,1.6,1.2
